,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,prop_name,prop_val,prop_id
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,0,0
1379200079360,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2,0.5666666666666667,0.2333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1773K,0.4871116876602174,LogViscosity1773K
4092100469662,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.04666666666666667,0.0522,0.59885,0.222,0.05515,0.02513333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1773K,1.0948524475097654,LogViscosity1773K
4092100469652,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.04706666666666666,0.04866666666666666,0.60275,0.2446666666666667,0.04815,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1773K,1.3082257509231563,LogViscosity1773K
4092100469657,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.04753333333333333,0.05106666666666669,0.5991666666666666,0.2302333333333333,0.05460000000000001,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1773K,1.1062909364700315,LogViscosity1773K
4092100469647,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.0494,0.049666666666666665,0.6003333333333333,0.2469333333333333,0.0504,0.0032666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1773K,1.274097919464111,LogViscosity1773K
4092100469653,Ca,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.0236,0.09146666666666667,0.6047166666666667,0.2461333333333333,0.02505,0.00903333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1773K,1.026907444000244,LogViscosity1773K
4092100469648,Ca,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.024,0.09006666666666666,0.606,0.25406666666666666,0.0229,0.0029666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1773K,1.173458456993103,LogViscosity1773K
4092100469659,Ca,K,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.02485,0.09093333333333332,0.6037833333333332,0.2357,0.0274,0.017333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1773K,1.261155366897583,LogViscosity1773K
4092100469656,Ca,K,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,0.04985,0.04593333333333333,0.051599999999999986,0.6012833333333333,0.23426666666666665,0.017066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1773K,1.0099958181381226,LogViscosity1773K
