,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,prop_name,t,prop_val,prop_id
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,0,0,0
266600001616,O,Si,Sr,X,X,X,X,X,X,X,X,X,X,X,X,X,0.5833333333333333,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,-0.5053480416536331,LogViscosity1873K
266600001610,Mg,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.25,0.5833333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,-0.4005853533744812,LogViscosity1873K
4092100469652,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.04706666666666666,0.04866666666666666,0.60275,0.2446666666666667,0.04815,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,0.9887905120849608,LogViscosity1873K
196700009017,Ca,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.188,0.604,0.20800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,0.0869913697242736,LogViscosity1873K
1584900155655,Ca,Cr,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.1916308369163084,0.007959204079592042,0.6014631870146319,0.1989467719894677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,0.2069115042686462,LogViscosity1873K
266600001618,Ba,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.25,0.5833333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,-0.5382785797119141,LogViscosity1873K
3899300461119,Al,B,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,0.00556,0.04512,0.02726666666666666,0.6445866666666666,0.27746666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.359551191329956,LogViscosity1873K
1733700134910,Al,Ca,K,Mg,Na,O,Si,Zr,X,X,X,X,X,X,X,X,0.0061200000000000004,0.03484999999999998,0.08339999999999999,0.0299,0.0035333333333333328,0.6005966666666666,0.2333333333333333,0.008266666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.1079442501068115,LogViscosity1873K
1733700134904,Al,Ba,Ca,K,Mg,Na,O,Si,Zr,X,X,X,X,X,X,X,0.0069200000000000025,0.00635,0.035350000000000006,0.03513333333333333,0.035100000000000006,0.033133333333333334,0.6057800000000001,0.2386666666666667,0.003566666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.0270071029663086,LogViscosity1873K
3909200462008,Al,Ca,K,Mg,O,Si,Sr,Zr,X,X,X,X,X,X,X,X,0.0091990800919908,0.02024797520247975,0.0970569609705696,0.03734626537346265,0.5963237009632371,0.2248108522481085,0.00324967503249675,0.0117654901176549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.0782191753387451,LogViscosity1873K
1733700134913,Al,Ca,K,Mg,Na,O,Si,Zr,X,X,X,X,X,X,X,X,0.009999000099990002,0.03984601539846015,0.0632603406326034,0.03484651534846515,0.013731960137319598,0.6016065060160649,0.23084358230843585,0.005866080058660799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,0.9606950283050536,LogViscosity1873K
1733700134914,Al,Ca,K,Mg,Na,O,Si,Zr,X,X,X,X,X,X,X,X,0.01008,0.04005,0.06993333333333332,0.035,0.006866666666666668,0.6015700000000002,0.23060000000000005,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.0313291549682615,LogViscosity1873K
3913300462387,Al,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,0.0128,0.06449999999999999,0.08933333333333332,0.5983666666666665,0.23499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,0.9898319244384768,LogViscosity1873K
3913300462401,Al,K,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,0.0128,0.008666666666666666,0.0645,0.07999999999999999,0.5987,0.2353333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.0032467842102049,LogViscosity1873K
3913300462403,Al,K,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,0.0128,0.009333333333333329,0.0745,0.06666666666666668,0.6016999999999999,0.23499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.102591037750244,LogViscosity1873K
3913300462390,Al,Mg,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,0.020000000000000004,0.056,0.08533333333333333,0.602,0.232,0.004666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.2371442317962646,LogViscosity1873K
3913300462389,Al,B,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,0.020000000000000004,0.010000000000000002,0.0555,0.08466666666666668,0.6008333333333333,0.22899999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.0266952514648442,LogViscosity1873K
1733700134898,Al,Ca,K,Mg,Na,O,Si,Sr,Zr,X,X,X,X,X,X,X,0.02076207620762076,0.03950395039503951,0.0618061806180618,0.026252625262526245,0.0164016401640164,0.5982498249824982,0.21985531886521986,0.0118011801180118,0.005367203387005367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,0.9781296253204343,LogViscosity1873K
3913300462392,Al,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,0.020800000000000003,0.059,0.08666666666666667,0.6002,0.2333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.2221403121948242,LogViscosity1873K
3913300462391,Al,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,0.020800000000000003,0.061,0.08666666666666667,0.5995333333333333,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.198758602142334,LogViscosity1873K
3913300462400,Al,K,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,0.020800000000000003,0.022000000000000002,0.061,0.06533333333333333,0.5992,0.23166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity1873K,1873,1.3014593124389648,LogViscosity1873K
