,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,prop_name,t,prop_val,prop_id
,0,1,2,3,4,5,6,7,8,9,10,11,0,1,2,3,4,5,6,7,8,9,10,11,0,0,0,0
266600001610,Mg,O,Si,X,X,X,X,X,X,X,X,X,0.25,0.5833333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,-0.8400464802980423,LogViscosity2073K
266600001618,Ba,O,Si,X,X,X,X,X,X,X,X,X,0.25,0.5833333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,-0.9596103299409152,LogViscosity2073K
2611600197997,Al,B,Ca,Mg,O,Si,X,X,X,X,X,X,0.034,0.032,0.0425,0.01,0.6381666666666667,0.2433333333333333,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,1.0360245704650881,LogViscosity2073K
2611600197990,Al,B,Ca,Mg,O,Si,Sr,X,X,X,X,X,0.034,0.036000000000000004,0.02,0.02,0.6383333333333333,0.24166666666666664,0.01,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,1.0000021457672121,LogViscosity2073K
2611600197996,Al,B,Ca,Mg,O,Si,X,X,X,X,X,X,0.040000000000000015,0.028000000000000004,0.035,0.015,0.6386666666666667,0.2433333333333333,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,0.9999998807907104,LogViscosity2073K
2611600198000,Al,B,Ca,Mg,O,Si,Sr,X,X,X,X,X,0.046000000000000006,0.028000000000000004,0.0275,0.0175,0.6368333333333333,0.23666666666666664,0.0075,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,0.9633630514144896,LogViscosity2073K
196700003221,Al,O,Si,X,X,X,X,X,X,X,X,X,0.0808,0.6531999999999999,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,1.1350831985473635,LogViscosity2073K
266600002957,Al,O,Si,Sr,X,X,X,X,X,X,X,X,0.1,0.6083333333333333,0.16666666666666666,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,0.02184635400772104,LogViscosity2073K
266600002958,Al,Ba,O,Si,X,X,X,X,X,X,X,X,0.1,0.125,0.6083333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,0.3093739748001101,LogViscosity2073K
266600002961,Al,O,Si,Sr,X,X,X,X,X,X,X,X,0.15000000000000002,0.5791666666666666,0.08333333333333333,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,-0.5069342106580734,LogViscosity2073K
266600002962,Al,Ba,O,Si,X,X,X,X,X,X,X,X,0.15000000000000002,0.1875,0.5791666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,-0.3828114271163941,LogViscosity2073K
144000001472,O,Si,Ti,X,X,X,X,X,X,X,X,X,0.6666666666666666,0.3128666666666666,0.020466666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,5.099997520446777,LogViscosity2073K
196700009021,Ba,O,Si,X,X,X,X,X,X,X,X,X,0.018500000000000003,0.6604999999999999,0.32099999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2073K,2073,0.7023929357528689,LogViscosity2073K
