,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,prop_name,t,prop_val,prop_id
,0,1,2,3,4,5,6,7,8,9,10,0,1,2,3,4,5,6,7,8,9,10,0,0,0,0
266600001617,Ba,O,Si,X,X,X,X,X,X,X,X,0.1,0.6333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2473K,2473,-0.2385357916355133,LogViscosity2473K
266600002953,Al,O,Si,Sr,X,X,X,X,X,X,X,0.05,0.6375,0.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2473K,2473,0.08297306299209592,LogViscosity2473K
266600002952,Al,Ca,O,Si,X,X,X,X,X,X,X,0.05,0.0625,0.6375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2473K,2473,-0.0731702148914336,LogViscosity2473K
266600001612,Ca,O,Si,X,X,X,X,X,X,X,X,0.15,0.6166666666666666,0.2333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2473K,2473,-0.8330562263727188,LogViscosity2473K
287300001716,Co,O,Si,X,X,X,X,X,X,X,X,0.0036,0.6654666666666667,0.3309333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2473K,2473,3.3691153526306152,LogViscosity2473K
349100001651,Ca,O,Si,X,X,X,X,X,X,X,X,0.1525,0.6158333333333332,0.23166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2473K,2473,-0.7983216941356659,LogViscosity2473K
1479200151547,Al,Na,O,Si,X,X,X,X,X,X,X,0.05,0.08333333333333333,0.6166666666666667,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2473K,2473,0.6721444129943848,LogViscosity2473K
1479200151548,Al,K,O,Si,X,X,X,X,X,X,X,0.05,0.08333333333333333,0.6166666666666667,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2473K,2473,0.4509649276733398,LogViscosity2473K
1647500158914,Al,Ca,O,Zr,X,X,X,X,X,X,X,0.14615999999999998,0.1661,0.58694,0.1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity2473K,2473,-0.002458512783050419,LogViscosity2473K
1647500158919,Al,Ca,Mg,O,Si,Zr,X,X,X,X,X,0.13260000000000002,0.13760000000000006,0.0228,0.5911,0.014266666666666669,0.10163333333333333,0.0,0.0,0.0,0.0,0.0,LogViscosity2473K,2473,0.125558614730835,LogViscosity2473K
4190700487647,Al,B,Ca,Fe,K,Mg,Na,O,Si,Sn,Zr,0.04896,0.014560000000000003,0.0003,4e-05,0.0002666666666666667,0.01175,0.09306666666666666,0.60539,0.2253333333333333,0.0003,3.333333333333333e-05,LogViscosity2473K,2473,3.3482580184936523,LogViscosity2473K
