,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,prop_name,prop_val,prop_id
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,0,0
1659600184791,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.5941666666666666,0.2175,0.1883333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,4.145505905151368,LogViscosity973K
268000001222,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.575,0.275,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,0.9026528596878052,LogViscosity973K
4122000480648,O,P,Zn,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.6071428571428572,0.14285714285714285,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,2.9843462705612183,LogViscosity973K
3586000430134,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.09453333333333333,0.6029166666666665,0.2313,0.04945,0.021799999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,9.949334144592283,LogViscosity973K
3586000430133,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.09846666666666666,0.6024166666666666,0.2377333333333333,0.04505,0.01633333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,9.213162422180176,LogViscosity973K
3586000430131,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.10026666666666664,0.60085,0.2484,0.04705,0.003433333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,7.2631468772888175,LogViscosity973K
3586000430132,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.10193333333333332,0.5973,0.23493333333333336,0.0552,0.010633333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,8.201635360717772,LogViscosity973K
41000022181,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2,0.5666666666666667,0.2333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,5.017363548278809,LogViscosity973K
41000022190,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.26666666666666666,0.5333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,4.150546073913575,LogViscosity973K
1659600184810,Li,Na,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.06666666666666668,0.13333333333333333,0.5333333333333333,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,1.5269352197647097,LogViscosity973K
1659600184811,Li,Na,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.06666666666666668,0.16666666666666666,0.5249999999999999,0.075,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,1.5101903676986697,LogViscosity973K
1659600184813,Li,Na,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.1,0.06666666666666668,0.5416666666666666,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,2.823421835899353,LogViscosity973K
1659600184814,Li,Na,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.1,0.1,0.5333333333333333,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,4.154005765914918,LogViscosity973K
1659600184835,K,Na,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.03333333333333333,0.1,0.55,0.15,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,1.365959405899048,LogViscosity973K
4092100469662,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.04666666666666667,0.0522,0.59885,0.222,0.05515,0.02513333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,10.431106090545654,LogViscosity973K
4092100469657,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.04753333333333333,0.05106666666666669,0.5991666666666666,0.2302333333333333,0.05460000000000001,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,9.568151473999023,LogViscosity973K
3586000430136,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.0494,0.049666666666666665,0.6003333333333333,0.2469333333333333,0.0504,0.0032666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,7.750046730041504,LogViscosity973K
1659600184841,K,Na,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.06666666666666668,0.1,0.5416666666666666,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,2.3737138509750366,LogViscosity973K
1659600184842,K,Na,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.06666666666666668,0.13333333333333333,0.5333333333333333,0.1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,2.3682817220687866,LogViscosity973K
3586000430146,K,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.09466666666666664,0.6029,0.2438,0.0493,0.00933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,11.451622009277346,LogViscosity973K
3586000430145,K,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.09953333333333332,0.5994166666666666,0.2453666666666667,0.05245000000000001,0.003233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,9.59719944000244,LogViscosity973K
1659600184846,K,Na,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.1,0.06666666666666668,0.5416666666666666,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,2.5267077684402466,LogViscosity973K
3586000430144,K,O,Si,Zn,X,X,X,X,X,X,X,X,X,X,X,X,X,0.10493333333333334,0.6000833333333333,0.2526333333333333,0.042350000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,8.745004177093506,LogViscosity973K
3586000430150,Ca,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.0236,0.09146666666666667,0.6047166666666667,0.2461333333333333,0.02505,0.00903333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,7.8432350158691415,LogViscosity973K
3586000430137,Ca,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.024,0.09006666666666666,0.606,0.25406666666666666,0.0229,0.0029666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,7.07905387878418,LogViscosity973K
4092100469664,Ca,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.025,0.0466,0.0524,0.5996166666666666,0.22406666666666664,0.02765,0.02466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,9.790809631347656,LogViscosity973K
4092100469663,Ca,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.025550000000000003,0.1052,0.5965,0.22093333333333331,0.02715,0.02466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,9.326350688934326,LogViscosity973K
4092100469658,Ca,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,X,0.02565,0.1052,0.5962166666666667,0.2269666666666667,0.0279,0.01806666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,8.33099031448364,LogViscosity973K
4092100469660,Ca,K,Na,O,Si,Zn,Zr,X,X,X,X,X,X,X,X,X,X,0.0259,0.04786666666666667,0.05213333333333334,0.5986499999999999,0.22946666666666665,0.02815,0.017833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,8.771019935607912,LogViscosity973K
50100023517,Ca,Mg,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,0.0321967803219678,0.03084691530846915,0.1005899410058994,0.5953571309535712,0.2410092324100923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,6.742283821105957,LogViscosity973K
3586000430140,Ca,K,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.0421,0.09986666666666667,0.6026999999999999,0.2553333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,8.504766464233397,LogViscosity973K
3586000430135,Ca,K,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,0.04305,0.04906666666666666,0.05093333333333333,0.6023166666666665,0.2514666666666666,0.0031666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,7.492253303527832,LogViscosity973K
3586000430129,Ca,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.0489,0.0938,0.6034666666666667,0.23126666666666665,0.022566666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,9.891456127166748,LogViscosity973K
4092100469656,Ca,K,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,0.04985,0.04593333333333333,0.051599999999999986,0.6012833333333333,0.23426666666666665,0.017066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,8.962797164916992,LogViscosity973K
3586000430143,Ca,K,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.0503,0.10293333333333332,0.5984333333333334,0.2319333333333333,0.016399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,11.64723539352417,LogViscosity973K
3586000430142,Ca,K,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.0504,0.10273333333333333,0.5985,0.2374333333333333,0.010933333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,10.300783634185793,LogViscosity973K
3586000430127,Ca,Na,O,Si,Zr,X,X,X,X,X,X,X,X,X,X,X,X,0.05095,0.08946666666666668,0.60495,0.2451,0.009533333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LogViscosity973K,8.104716300964355,LogViscosity973K
