,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,elements,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,at_fracs,prop_name,prop_val,prop_id
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,0,0
2992600375534,O,Te,Zn,X,X,X,X,X,X,X,X,X,X,X,X,X,0.625,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,49.75,YoungsModulus293K
878800080818,O,Te,Zn,X,X,X,X,X,X,X,X,X,X,X,X,X,0.6368499999999999,0.27369999999999994,0.08945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,67.0,YoungsModulus293K
201400009543,O,Si,Ti,X,X,X,X,X,X,X,X,X,X,X,X,X,0.6666666666666666,0.30666666666666664,0.02666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,66.34999847412111,YoungsModulus293K
492900144896,O,Pb,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.5802499999999999,0.25925,0.16049999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,49.9000015258789,YoungsModulus293K
583300092851,O,P,W,X,X,X,X,X,X,X,X,X,X,X,X,X,0.742857142857143,0.057142857142857134,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,86.37599563598633,YoungsModulus293K
655500037762,O,P,Pb,X,X,X,X,X,X,X,X,X,X,X,X,X,0.6060714285714286,0.14142857142857146,0.2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,37.492000579833984,YoungsModulus293K
655400037754,O,P,Sr,X,X,X,X,X,X,X,X,X,X,X,X,X,0.6065,0.14200000000000002,0.2515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,46.69839859008789,YoungsModulus293K
4036000467698,O,P,Pb,X,X,X,X,X,X,X,X,X,X,X,X,X,0.6071428571428572,0.14285714285714285,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,37.55000114440918,YoungsModulus293K
783000074157,O,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,31.29999923706055,YoungsModulus293K
3955400464205,Na,O,Si,X,X,X,X,X,X,X,X,X,X,X,X,X,0.05333333333333333,0.6399999999999999,0.30666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,67.79999923706055,YoungsModulus293K
4148700488340,Na,O,Sb,X,X,X,X,X,X,X,X,X,X,X,X,X,0.06666666666666668,0.5733333333333334,0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,31.649999618530273,YoungsModulus293K
870100080150,Na,O,Si,Zn,X,X,X,X,X,X,X,X,X,X,X,X,0.0952571409525714,0.5952238109522382,0.238076192380762,0.07144285571442856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,67.70000076293945,YoungsModulus293K
386300012536,Na,O,Si,Ti,X,X,X,X,X,X,X,X,X,X,X,X,0.11666666666666665,0.6083333333333333,0.19166666666666665,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YoungsModulus293K,84.69999694824219,YoungsModulus293K
